"PO","取引業者コード","","配送センター","ウィンドウの種類","ウィンドウ開始日","ウィンドウ終了日","総ケース数","総額"
"5AYCT19M","2UQ7Z","2020/05/01","TPF4 - 稲沢市, Aichi","着荷ウィンドウ (元払い)","2020/05/01","2020/05/11","1","10776"
"4HGN22GQ","2UQ7Z","2020/04/30","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","103","352943"
"8Q9GVAZR","WP1A4","2020/04/30","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","3","4274"
"7M9FPSTU","WP1A4","2020/04/30","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","2","968"
"8151Q8FP","2UQ7Z","2020/04/30","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","125","447728"
"3YPB9XNU","2UQ7Z","2020/04/30","HND3 - 比企郡 川島町, Saitama","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","9","142268"
"8P1H4KAC","2UQ7Z","2020/04/30","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","12","64275"
"8NXP94MT","2UQ7Z","2020/04/30","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","108","373295"
"8LBXWCKY","2UQ7Z","2020/04/30","VJNB - 神戸市, 兵庫県","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","1","14850"
"86Z3OCGL","2UQ7Z","2020/04/30","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","100","331500"
"83AKH4QH","2UQ7Z","2020/04/30","VJNA - 柏市, 千葉県","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","2","29700"
"3UOZWXHN","2UQ7Z","2020/04/30","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","2","10430"
"3NAYII2F","2UQ7Z","2020/04/30","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","11","54037"
"3HQOP6HM","2UQ7Z","2020/04/30","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/04/30","2020/05/11","2","5561"
"4K5JQ4LH","2UQ7Z","2020/04/28","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","2","14687"
"7KMLAAOS","2UQ7Z","2020/04/28","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","7","23612"
"5YY18AQG","2UQ7Z","2020/04/28","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","103","344583"
"5UHIAETW","2UQ7Z","2020/04/28","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","2","13833"
"7E63TZUN","2UQ7Z","2020/04/28","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","5","28866"
"7ON4743T","2UQ7Z","2020/04/28","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","3","13083"
"1UUL6L9I","2UQ7Z","2020/04/28","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","2","13833"
"6ZR6K8TH","WP1A4","2020/04/28","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","8","8267"
"6KNBLKIO","WP1A4","2020/04/28","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","3","1592"
"6ISJZGNZ","WP1A4","2020/04/28","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","6","3374"
"4GGKFWGO","WP1A4","2020/04/28","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","1","459"
"4ELSTSLZ","WP1A4","2020/04/28","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/28","2020/05/07","6","3276"
"2PB69WZY","WP1A4","2020/04/27","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","3","1743"
"8U57KFDR","WP1A4","2020/04/27","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","9","4583"
"8RYNTJ2Z","WP1A4","2020/04/27","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","3","1321"
"2U8VSONL","WP1A4","2020/04/27","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","22","17253"
"89BQ4QBC","WP1A4","2020/04/27","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","9","4583"
"848NWAHM","WP1A4","2020/04/27","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","20","12228"
"6TRHSJNX","2UQ7Z","2020/04/27","TPFA - 野田市, Chiba","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","14","192678"
"4MX19HID","2UQ7Z","2020/04/27","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","107","362027"
"4GLQPHQE","2UQ7Z","2020/04/27","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","4","22762"
"4CLGDHKX","2UQ7Z","2020/04/27","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","6","24304"
"4AQORDPI","2UQ7Z","2020/04/27","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","3","15920"
"484XFLNN","2UQ7Z","2020/04/27","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","10","53111"
"45YEOPCV","2UQ7Z","2020/04/27","HND3 - 比企郡 川島町, Saitama","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","3","46670"
"444N3LHG","2UQ7Z","2020/04/27","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","4","14283"
"6WE95BPS","2UQ7Z","2020/04/27","NRT2 - 八千代市, Chiba","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","3","5880"
"6K7WN7WX","2UQ7Z","2020/04/27","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","102","340222"
"6542OJLE","2UQ7Z","2020/04/27","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","103","344583"
"4SS37LJZ","2UQ7Z","2020/04/27","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","1","1960"
"4BIOI1WO","2UQ7Z","2020/04/27","KIX2 - 大東市, Osaka","着荷ウィンドウ (元払い)","2020/04/27","2020/05/01","2","3920"
"6KLGO66V","WP1A4","2020/04/24","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","115","159906"
"2VQ6QPLR","WP1A4","2020/04/24","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","59","92969"
"8T1LFW6E","WP1A4","2020/04/24","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","147","193924"
"3IXZU5WF","WP1A4","2020/04/24","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","16","19917"
"6UGWQOHV","WP1A4","2020/04/24","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","41","48510"
"7E6TPA9A","WP1A4","2020/04/24","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","27","35554"
"5E5BL92F","WP1A4","2020/04/24","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","62","76470"
"141ACX5O","WP1A4","2020/04/24","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","54","66278"
"8PHIORQA","WP1A4","2020/04/24","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","48","59854"
"1CNJ3WIF","WP1A4","2020/04/24","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","108","146132"
"6CAF7KPV","2UQ7Z","2020/04/24","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","106","381359"
"4WBN1URQ","2UQ7Z","2020/04/24","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","113","422507"
"5L3GR13B","2UQ7Z","2020/04/24","VJNA - 柏市, 千葉県","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","13","193050"
"53T32GGQ","2UQ7Z","2020/04/24","VJNB - 神戸市, 兵庫県","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","20","383090"
"52A3L52E","2UQ7Z","2020/04/24","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/04/24","2020/04/30","115","434079"
"83KDVBBQ","2UQ7Z","2020/04/16","VJNC - 東大阪市, 大阪府","着荷ウィンドウ (元払い)","2020/04/16","2020/04/22","1","211500"
"6S1MZR9F","2UQ7Z","2020/04/13","VJNA - 柏市, 千葉県","着荷ウィンドウ (元払い)","2020/04/13","2020/04/17","1","211500"
"69Q6HVMK","WP1A4","2020/04/10","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/04/10","2020/04/15","2","1250"
"1SDQE5UL","WP1A4","2020/04/10","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/10","2020/04/15","4","3818"
"7GEAUBEX","WP1A4","2020/04/09","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/04/09","2020/04/14","15","14177"
"68LT1X8D","WP1A4","2020/04/09","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/09","2020/04/14","10","9986"
"8QWB3SFP","2UQ7Z","2020/04/09","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/04/09","2020/04/15","7","44966"
"1EN592AW","WP1A4","2020/04/09","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/04/09","2020/04/14","1","1239"
"8WMCK21O","WP1A4","2020/04/08","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/04/08","2020/04/13","2","1554"
"2VYKYNON","WP1A4","2020/04/08","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/04/08","2020/04/13","1","4196"
"24J6MLIT","WP1A4","2020/04/08","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/04/08","2020/04/13","1","1371"
"37UWZ2XG","2UQ7Z","2020/04/08","TPF7 - 印西市, 千葉県","着荷ウィンドウ (元払い)","2020/04/08","2020/04/13","2","360000"
"46LPGCZP","WP1A4","2020/04/07","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/07","2020/04/10","6","8765"
"83KHFQZB","WP1A4","2020/04/03","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/04/03","2020/04/08","6","9110"
"8AT9HL7Y","WP1A4","2020/04/01","VJNB - 神戸市, 兵庫県","着荷ウィンドウ (元払い)","2020/04/01","2020/04/06","2","14706"
"6PH8NQWM","WP1A4","2020/04/01","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/01","2020/04/06","1","881"
"7WJZ6XAP","2UQ7Z","2020/03/31","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/04/07","2020/04/14","8","45569"
"7HAOR6OW","2UQ7Z","2020/03/31","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/04/07","2020/04/14","19","99085"
"6F6QLS4C","2UQ7Z","2020/03/31","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/04/07","2020/04/14","5","29924"
"6DBYZO9N","2UQ7Z","2020/03/31","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/04/07","2020/04/14","27","156201"
"2FD4N79W","2UQ7Z","2020/03/30","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/03/30","2020/04/02","4","27666"
"28Q2YF1U","2UQ7Z","2020/03/30","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/03/30","2020/04/02","7","61193"
"25SJHUIW","2UQ7Z","2020/03/30","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/03/30","2020/04/02","102","350444"
"1EN7SCLJ","2UQ7Z","2020/03/30","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/03/30","2020/04/02","9","44806"
"11OVKKLI","2UQ7Z","2020/03/30","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/03/30","2020/04/02","5","27770"
"2BNLFYJS","2UQ7Z","2020/03/30","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/03/30","2020/04/02","17","99692"
"8FNQ33MQ","2UQ7Z","2020/03/27","TPF4 - 稲沢市, Aichi","着荷ウィンドウ (元払い)","2020/03/27","2020/04/01","1","8925"
"8CQ7LJ4S","2UQ7Z","2020/03/27","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/03/27","2020/04/01","9","34478"
"891OEBEO","2UQ7Z","2020/03/27","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/03/27","2020/04/01","9","32854"
"79HTTHSK","2UQ7Z","2020/03/27","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/03/27","2020/04/01","16","62066"
"85C673OK","2UQ7Z","2020/03/27","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/03/27","2020/04/01","104","347439"
"7HYN4DVB","2UQ7Z","2020/03/27","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/03/27","2020/04/01","5","20541"
"78PU3TLE","2UQ7Z","2020/03/27","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/03/27","2020/04/01","2","6860"
"75HJHHMD","2UQ7Z","2020/03/27","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/03/27","2020/04/01","3","10794"
"73MRVDRO","2UQ7Z","2020/03/27","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/03/27","2020/04/01","5","18333"
"68AVQ99I","2UQ7Z","2020/03/27","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/03/27","2020/04/01","2","8722"
"8C741B9B","WP1A4","2020/03/26","VJNC - 東大阪市, 大阪府","着荷ウィンドウ (元払い)","2020/03/26","2020/05/31","8","58824"
"4OKLY4YH","2UQ7Z","2020/03/26","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/03/26","2020/03/31","111","375276"
"8ENIOE5T","2UQ7Z","2020/03/26","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/03/26","2020/03/31","6","23093"
"4SQCR8FO","2UQ7Z","2020/03/26","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/03/26","2020/03/31","113","381019"
"4WW3KBVV","2UQ7Z","2020/03/26","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/03/26","2020/03/31","9","41007"
"4LHQSVAG","2UQ7Z","2020/03/26","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/03/26","2020/03/31","2","8722"
"4EUP542E","2UQ7Z","2020/03/26","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/03/26","2020/03/31","4","11632"
"4E3PEFUY","2UQ7Z","2020/03/26","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/03/26","2020/03/31","110","369425"
"3D7UHEWU","2UQ7Z","2020/03/26","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/03/26","2020/03/31","210","735024"
"7JITIY4P","2UQ7Z","2020/03/19","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/03/19","2020/03/25","3","13969"
"4PQOBYSA","2UQ7Z","2020/03/19","FSZ1 - 小田原市, Kanagawa","着荷ウィンドウ (元払い)","2020/03/19","2020/03/25","119","419797"
"6O2ZVDWT","2UQ7Z","2020/03/19","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/03/19","2020/03/25","4","20266"
"7CW7YSCB","2UQ7Z","2020/03/19","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/03/19","2020/03/25","107","367140"
"3SCA2GYA","2UQ7Z","2020/03/19","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/03/19","2020/03/25","221","763709"
"3W9UNZOT","2UQ7Z","2020/03/18","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/03/18","2020/03/23","6","40219"
"6EV1UWDB","2UQ7Z","2020/03/17","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/03/17","2020/03/23","8","30731"
"33OL4IIQ","2UQ7Z","2020/03/17","TPF2 - 比企郡, Saitama","着荷ウィンドウ (元払い)","2020/03/17","2020/03/23","4","38433"
"5EWEKTOJ","2UQ7Z","2020/03/17","KIX1 - 堺市, Osaka","着荷ウィンドウ (元払い)","2020/03/17","2020/03/23","100","331500"
"6FJVABUY","WP1A4","2020/03/13","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/03/13","2020/03/18","6","5673"
"4JGVNWFM","WP1A4","2020/03/12","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/03/12","2020/03/17","4","8861"
"4GOSNG7O","WP1A4","2020/03/12","OKJ1 - 総社市, Okayama","着荷ウィンドウ (元払い)","2020/03/12","2020/03/17","4","7558"
"8UQ3UBAL","WP1A4","2020/03/12","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/03/12","2020/03/17","9","13490"