"PO","Vendor","Ordered On","Ship to location","Window Type","Window Start","Window End","Total Cases","Total Cost"
"4FJ73K8B","WP1A4","05/21/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/21/2020","05/26/2020","10","8141"
"1GX9UFBN","WP1A4","05/21/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/21/2020","05/26/2020","16","67237"
"7DXUWGVF","WP1A4","05/21/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/21/2020","05/26/2020","7","4595"
"82GKEFFD","WP1A4","05/21/2020","VJNA - Kashiwa, Chiba","Delivery window (Prepaid)","05/21/2020","05/26/2020","1","1095"
"8SYR4JCL","WP1A4","05/21/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/21/2020","05/26/2020","13","8506"
"5646YP9O","WP1A4","05/21/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","05/21/2020","05/26/2020","6","7051"
"3M5EI9WZ","WP1A4","05/21/2020","KIX2 - Daito-shi, Osaka","Delivery window (Prepaid)","05/21/2020","05/26/2020","1","3486"
"35XRO5XX","WP1A4","05/21/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/21/2020","05/26/2020","25","34147"
"7VDP34SQ","WP1A4","05/21/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/21/2020","05/26/2020","23","18766"
"26NSGSBS","WP1A4","05/21/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/21/2020","05/26/2020","9","9316"
"3VJMYWHW","WP1A4","05/21/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/21/2020","05/26/2020","13","13090"
"3L833WJQ","WP1A4","05/21/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/21/2020","05/26/2020","9","7765"
"3CQ9T1GZ","WP1A4","05/21/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/21/2020","05/26/2020","1","3486"
"2E2TV8QA","WP1A4","05/21/2020","VJNC - Higashiosaka, Osaka","Delivery window (Prepaid)","05/21/2020","05/26/2020","1","4592"
"7FCIP44O","WP1A4","05/21/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/21/2020","05/26/2020","3","2182"
"6GGSOKYS","WP1A4","05/21/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/21/2020","05/26/2020","7","8025"
"692RA5JK","WP1A4","05/21/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/21/2020","05/26/2020","13","9628"
"75RXJRDO","WP1A4","05/21/2020","TPFB - Isehara, Kanagawa","Delivery window (Prepaid)","05/21/2020","05/26/2020","17","66078"
"5ZMMQLWV","WP1A4","05/20/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/20/2020","05/25/2020","3","2629"
"48YYRFCX","WP1A4","05/20/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/20/2020","05/25/2020","14","21263"
"2X46IN2E","WP1A4","05/20/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/20/2020","05/25/2020","15","16154"
"2R94KJ1I","WP1A4","05/20/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/20/2020","05/25/2020","9","10591"
"2G5JXUVW","WP1A4","05/20/2020","VJNC - Higashiosaka, Osaka","Delivery window (Prepaid)","05/20/2020","05/25/2020","2","9184"
"2DZ17YKE","WP1A4","05/20/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/20/2020","05/25/2020","2","4827"
"2CG1QN6S","WP1A4","05/20/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/20/2020","05/25/2020","6","10938"
"2AW2ABRG","WP1A4","05/20/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/20/2020","05/25/2020","10","21613"
"22KOGIYP","WP1A4","05/20/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/20/2020","05/25/2020","12","17887"
"1XSBA4IU","WP1A4","05/20/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/20/2020","05/25/2020","4","5079"
"1RX9BZHY","WP1A4","05/20/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","05/20/2020","05/25/2020","1","4592"
"1R69LCAS","WP1A4","05/20/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/20/2020","05/25/2020","9","9346"
"1KJ7WK2Q","WP1A4","05/20/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","05/20/2020","05/25/2020","3","1460"
"1BAEVZRT","WP1A4","05/20/2020","VJNA - Kashiwa, Chiba","Delivery window (Prepaid)","05/20/2020","05/25/2020","4","12846"
"1AYMR8BQ","WP1A4","05/20/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/20/2020","05/25/2020","6","15690"
"1A7N1K4K","WP1A4","05/20/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/20/2020","05/25/2020","11","13968"
"27NQNYSF","WP1A4","05/20/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/20/2020","05/25/2020","1","4841"
"839ZBHHU","2UQ7Z","05/20/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/20/2020","05/25/2020","22","123139"
"3RL46IIR","2UQ7Z","05/20/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/20/2020","05/25/2020","11","54824"
"35U7J2YW","2UQ7Z","05/20/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/20/2020","05/25/2020","7","84180"
"7Y8B411V","2UQ7Z","05/20/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/20/2020","05/25/2020","16","70750"
"7VARMGIX","2UQ7Z","05/20/2020","KIX2 - Daito-shi, Osaka","Delivery window (Prepaid)","05/20/2020","05/25/2020","1","9375"
"7RL9F8ST","2UQ7Z","05/20/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/20/2020","05/25/2020","1","2128"
"7EC62OCP","2UQ7Z","05/20/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/20/2020","05/25/2020","6","29904"
"7E1DWVVM","2UQ7Z","05/20/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/20/2020","05/25/2020","1","1218"
"7993U8IZ","2UQ7Z","05/20/2020","VJNA - Kashiwa, Chiba","Delivery window (Prepaid)","05/20/2020","05/25/2020","1","18600"
"77EC94NK","2UQ7Z","05/20/2020","TPF4 - Inazawa-shi, Aichi","Delivery window (Prepaid)","05/20/2020","05/25/2020","1","3672"
"5SZSMMWN","2UQ7Z","05/20/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","05/20/2020","05/25/2020","4","66900"
"3KY2HQAP","2UQ7Z","05/20/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/20/2020","05/25/2020","1","9472"
"3FEROEPW","2UQ7Z","05/20/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/20/2020","05/25/2020","20","94168"
"3CH97U7Y","2UQ7Z","05/20/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/20/2020","05/25/2020","2","5673"
"5IO8QMYH","2UQ7Z","05/20/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/20/2020","05/25/2020","1","889"
"7N8MIHEU","WP1A4","05/19/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/19/2020","05/22/2020","8","13019"
"5RQOKJVX","WP1A4","05/19/2020","TPFB - Isehara, Kanagawa","Delivery window (Prepaid)","05/19/2020","05/22/2020","7","24402"
"7WC7MQML","WP1A4","05/19/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/19/2020","05/22/2020","3","5307"
"7GB19PXJ","WP1A4","05/19/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/19/2020","05/22/2020","5","17430"
"2SW3UE2C","WP1A4","05/19/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/19/2020","05/22/2020","5","11746"
"7RPD16JY","WP1A4","05/19/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/19/2020","05/22/2020","5","1990"
"8ZLD7JBS","WP1A4","05/19/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/19/2020","05/22/2020","1","1041"
"8NV9BB9A","WP1A4","05/19/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/19/2020","05/22/2020","1","2517"
"6RLJGIKQ","WP1A4","05/19/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/19/2020","05/22/2020","10","8344"
"1QYDHOCA","WP1A4","05/19/2020","TPF3 - Takatsuki-shi, Osaka","Delivery window (Prepaid)","05/19/2020","05/22/2020","1","2752"
"8U7IUB1Z","WP1A4","05/19/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/19/2020","05/22/2020","6","7656"
"8GMNCY4S","WP1A4","05/19/2020","HND3 - Hiki-gun, Saitama","Delivery window (Prepaid)","05/19/2020","05/22/2020","4","13944"
"858BLIID","WP1A4","05/19/2020","KIX2 - Daito-shi, Osaka","Delivery window (Prepaid)","05/19/2020","05/22/2020","1","999"
"83OC574R","WP1A4","05/19/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/19/2020","05/22/2020","4","2064"
"553O3K7N","WP1A4","05/19/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/19/2020","05/22/2020","5","7357"
"4FQ8TJFB","WP1A4","05/19/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/19/2020","05/22/2020","32","112907"
"3V9LUS1R","WP1A4","05/19/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/19/2020","05/22/2020","5","4936"
"3JJHYJYZ","WP1A4","05/19/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","05/19/2020","05/22/2020","5","2351"
"3HOQDG4K","WP1A4","05/19/2020","NRT2 - Yachiyo-shi, Chiba","Delivery window (Prepaid)","05/19/2020","05/22/2020","3","10458"
"1H417K5X","WP1A4","05/19/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/19/2020","05/22/2020","6","6602"
"1NFAQJWW","WP1A4","05/19/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/19/2020","05/22/2020","4","9710"
"75NS1CNX","2UQ7Z","05/19/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/19/2020","05/22/2020","5","5416"
"5QO92BKF","2UQ7Z","05/19/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/19/2020","05/22/2020","3","3978"
"5PLH6UWW","2UQ7Z","05/19/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/19/2020","05/22/2020","2","10690"
"58MUM3QO","2UQ7Z","05/19/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/19/2020","05/22/2020","2","2129"
"8L46AU1C","2UQ7Z","05/19/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/19/2020","05/22/2020","100","331500"
"7P95WVVA","2UQ7Z","05/19/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/19/2020","05/22/2020","5","94722"
"1BUMBF5E","2UQ7Z","05/19/2020","TPF4 - Inazawa-shi, Aichi","Delivery window (Prepaid)","05/19/2020","05/22/2020","1","2400"
"2YGL8IUP","2UQ7Z","05/19/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","05/19/2020","05/22/2020","5","74250"
"27XEIEXH","2UQ7Z","05/19/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/19/2020","05/22/2020","1","9472"
"1WYYOART","2UQ7Z","05/19/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/19/2020","05/22/2020","2","2800"
"1LQ76CKB","2UQ7Z","05/19/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/19/2020","05/22/2020","1","2499"
"4S9RHFXZ","2UQ7Z","05/18/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/18/2020","05/22/2020","1","500"
"1DWN8BFN","WP1A4","05/18/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/18/2020","05/21/2020","1","643"
"4N1JU6LG","WP1A4","05/18/2020","HND3 - Hiki-gun, Saitama","Delivery window (Prepaid)","05/18/2020","05/21/2020","1","2517"
"2EUIUGKD","WP1A4","05/18/2020","TPF4 - Inazawa-shi, Aichi","Delivery window (Prepaid)","05/18/2020","05/21/2020","1","2517"
"7BLQN6YJ","WP1A4","05/18/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/18/2020","05/21/2020","4","4453"
"8VZLX9SG","WP1A4","05/18/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/18/2020","05/21/2020","5","4859"
"86K73LJH","WP1A4","05/18/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/18/2020","05/21/2020","10","11584"
"82UNVDTD","WP1A4","05/18/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/18/2020","05/21/2020","7","7775"
"7Z7EVQDT","WP1A4","05/18/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/18/2020","05/21/2020","12","14101"
"7DGI9ATY","WP1A4","05/18/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/18/2020","05/21/2020","4","4708"
"7CDQDU6P","WP1A4","05/18/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/18/2020","05/21/2020","6","8154"
"734XDAVS","WP1A4","05/18/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/18/2020","05/21/2020","15","22194"
"71A6R71D","WP1A4","05/18/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/18/2020","05/21/2020","8","10787"
"5JYJSR8W","WP1A4","05/18/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/18/2020","05/21/2020","3","10458"
"2T22ERIN","WP1A4","05/18/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/18/2020","05/21/2020","4","3971"
"2R7ASNNY","WP1A4","05/18/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","05/18/2020","05/21/2020","1","5874"
"2QFB2ZGS","WP1A4","05/18/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/18/2020","05/21/2020","3","11078"
"26J61NRM","WP1A4","05/18/2020","TPF2 - Hiki-gun, Saitama","Delivery window (Prepaid)","05/18/2020","05/21/2020","1","999"
"5E4HUN7A","WP1A4","05/18/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/18/2020","05/21/2020","1","1343"
"2HMPNBWY","WP1A4","05/18/2020","TPF7 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/18/2020","05/21/2020","3","43569"
"5OG6J29D","2UQ7Z","05/18/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/18/2020","05/21/2020","7","21961"
"7A2YQNSR","2UQ7Z","05/18/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/18/2020","05/21/2020","1","9472"
"79AYZZLL","2UQ7Z","05/18/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","05/18/2020","05/21/2020","9","133650"
"5MLEWXEO","2UQ7Z","05/18/2020","TPF7 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/18/2020","05/21/2020","1","14250"
"1RXXVCBR","2UQ7Z","05/18/2020","TPF4 - Inazawa-shi, Aichi","Delivery window (Prepaid)","05/18/2020","05/21/2020","1","2400"
"1RN6QJUO","2UQ7Z","05/18/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/18/2020","05/21/2020","6","17483"
"1QV6ZVNI","2UQ7Z","05/18/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/18/2020","05/21/2020","5","11162"
"1LBW7K3P","2UQ7Z","05/18/2020","HND3 - Hiki-gun, Saitama","Delivery window (Prepaid)","05/18/2020","05/21/2020","1","2400"
"15WA44BT","2UQ7Z","05/18/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/18/2020","05/21/2020","4","51840"
"127QVVLP","2UQ7Z","05/18/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/18/2020","05/21/2020","8","15773"
"5K4JTGUM","WP1A4","05/15/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/15/2020","05/20/2020","4","5316"
"38RZ4KND","WP1A4","05/15/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/15/2020","05/20/2020","4","4765"
"5JCK3SNG","WP1A4","05/15/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/15/2020","05/20/2020","1","3486"
"4DAV8JOC","WP1A4","05/15/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/15/2020","05/20/2020","14","17183"
"79VCDD2C","WP1A4","05/15/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/15/2020","05/20/2020","6","7894"
"5LCUXEWS","WP1A4","05/15/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/15/2020","05/20/2020","64","225701"
"1PXMPXUJ","WP1A4","05/15/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/15/2020","05/20/2020","13","14793"
"5N7MJIRH","WP1A4","05/15/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/15/2020","05/20/2020","10","9682"
"1ZCV7LFG","WP1A4","05/15/2020","KIX2 - Daito-shi, Osaka","Delivery window (Prepaid)","05/15/2020","05/20/2020","7","25023"
"1VNCZDPC","WP1A4","05/15/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","05/15/2020","05/20/2020","4","6139"
"1P6QRORA","WP1A4","05/15/2020","HND3 - Hiki-gun, Saitama","Delivery window (Prepaid)","05/15/2020","05/20/2020","8","25401"
"1F5Y1HAX","WP1A4","05/15/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/15/2020","05/20/2020","5","4824"
"1EU6VOTU","WP1A4","05/15/2020","TPF2 - Hiki-gun, Saitama","Delivery window (Prepaid)","05/15/2020","05/20/2020","1","6506"
"5OAI7DJN","WP1A4","05/15/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/15/2020","05/20/2020","1","2517"
"7MDNK2JU","2UQ7Z","05/15/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/15/2020","05/20/2020","13","31014"
"7V68YQ3O","2UQ7Z","05/15/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/15/2020","05/20/2020","5","39470"
"7QOQ1U6E","2UQ7Z","05/15/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/15/2020","05/20/2020","11","18789"
"774D5AXB","2UQ7Z","05/15/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/15/2020","05/20/2020","3","15146"
"3ZGTUL3F","2UQ7Z","05/15/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/15/2020","05/20/2020","3","14834"
"38XN5H6X","2UQ7Z","05/15/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","05/15/2020","05/20/2020","4","59400"
"2H46TVEF","WP1A4","05/14/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/14/2020","05/19/2020","1","420"
"76A6A9AY","WP1A4","05/14/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/14/2020","05/19/2020","6","28797"
"4K1P62BS","WP1A4","05/14/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/14/2020","05/19/2020","8","8197"
"2PFNG3BT","WP1A4","05/14/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","05/14/2020","05/19/2020","3","5921"
"2VAPE7CP","WP1A4","05/14/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/14/2020","05/19/2020","9","6530"
"2ABSHEZA","WP1A4","05/14/2020","TPF4 - Inazawa-shi, Aichi","Delivery window (Prepaid)","05/14/2020","05/19/2020","2","7505"
"7BINXSEO","WP1A4","05/14/2020","TPF7 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/14/2020","05/28/2020","15","70134"
"6XUV5GNM","WP1A4","05/14/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/14/2020","05/19/2020","1","2752"
"6T3L2SAZ","WP1A4","05/14/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/14/2020","05/19/2020","8","7956"
"6FTHP8TV","WP1A4","05/14/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/14/2020","05/19/2020","9","18804"
"2991LYCR","WP1A4","05/14/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/14/2020","05/19/2020","8","8816"
"1FEMTAEA","WP1A4","05/14/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/14/2020","05/19/2020","5","5689"
"8FLRCICZ","WP1A4","05/14/2020","TPF3 - Takatsuki-shi, Osaka","Delivery window (Prepaid)","05/14/2020","05/19/2020","1","999"
"5U5U1DQV","2UQ7Z","05/14/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/14/2020","05/19/2020","11","20023"
"5D78GLKN","2UQ7Z","05/14/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/14/2020","05/19/2020","12","37264"
"5RZBAHFD","2UQ7Z","05/14/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/14/2020","05/19/2020","11","212879"
"5R8BJT8X","2UQ7Z","05/14/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/14/2020","05/19/2020","4","8042"
"59N9HV9G","2UQ7Z","05/14/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","05/14/2020","05/19/2020","3","44550"
"23WVOFBQ","WP1A4","05/13/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/13/2020","05/18/2020","3","5256"
"87PA9FQQ","WP1A4","05/13/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","05/13/2020","05/18/2020","1","386"
"8P54F3NB","WP1A4","05/13/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/13/2020","05/18/2020","4","4154"
"8XB5K7AP","WP1A4","05/13/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/13/2020","05/18/2020","1","386"
"8L4T33HU","WP1A4","05/13/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/13/2020","05/18/2020","1","386"
"36NCHO1A","WP1A4","05/13/2020","VJNC - Higashiosaka, Osaka","Delivery window (Prepaid)","05/13/2020","05/18/2020","1","1095"
"86BWI3AE","2UQ7Z","05/13/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","05/13/2020","05/18/2020","4","59400"
"8EQXS7DM","2UQ7Z","05/12/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/12/2020","05/15/2020","5","29025"
