"PO","Vendor","Ordered On","Ship to location","Window Type","Window Start","Window End","Total Cases","Total Cost"
"328USVVT","2UQ7Z","05/11/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/11/2020","05/14/2020","5","9040"
"6WTMM9KT","2UQ7Z","05/11/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/11/2020","05/14/2020","2","18368"
"31RQZF9N","2UQ7Z","05/11/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/11/2020","05/14/2020","12","34409"
"8CKYGISZ","2UQ7Z","05/11/2020","TPFA - Noda, Chiba","Delivery window (Prepaid)","05/11/2020","05/14/2020","1","148500"
"5L1U641W","2UQ7Z","05/11/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/11/2020","05/14/2020","24","61175"
"1IY6XE1L","2UQ7Z","05/08/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/08/2020","05/13/2020","3","12467"
"3C5FK84C","2UQ7Z","05/08/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/08/2020","05/13/2020","4","19936"
"65SQ7E3L","2UQ7Z","05/08/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/08/2020","05/13/2020","15","62563"
"2IMV7D7T","2UQ7Z","05/08/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/08/2020","05/13/2020","1","4984"
"2OCLGS2M","2UQ7Z","05/08/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/08/2020","05/13/2020","18","89712"
"6N38OCTT","2UQ7Z","05/08/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/08/2020","05/13/2020","11","54824"
"6XV168IC","2UQ7Z","05/08/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/08/2020","05/13/2020","1","4984"
"5MPYL35E","WP1A4","05/08/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/08/2020","05/13/2020","4","11999"
"6EB38W5C","2UQ7Z","05/07/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/07/2020","05/12/2020","43","203966"
"3IM97BON","2UQ7Z","05/07/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/07/2020","05/12/2020","11","44616"
"3B87RV9F","2UQ7Z","05/07/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/07/2020","05/12/2020","8","78548"
"33IE8NDU","2UQ7Z","05/07/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","05/07/2020","05/12/2020","3","3584"
"88JAMNBH","2UQ7Z","05/07/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/07/2020","05/12/2020","15","74760"
"64QI3KEC","2UQ7Z","05/07/2020","VJNA - Kashiwa, Chiba","Delivery window (Prepaid)","05/07/2020","05/12/2020","3","66740"
"3V4CT7XL","2UQ7Z","05/07/2020","TPF3 - Takatsuki-shi, Osaka","Delivery window (Prepaid)","05/07/2020","05/12/2020","1","148500"
"3E5Q9FRD","2UQ7Z","05/07/2020","TPF2 - Hiki-gun, Saitama","Delivery window (Prepaid)","05/07/2020","05/12/2020","3","192279"
"377WFV3Y","2UQ7Z","05/07/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/07/2020","05/12/2020","12","59808"
"34L6441D","2UQ7Z","05/07/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/07/2020","05/12/2020","4","19936"
"2QOUW8FJ","WP1A4","05/07/2020","TPF6 - Inzai-shi, Chiba","Delivery window (Prepaid)","05/07/2020","05/12/2020","13","36923"
"2JATHRZB","WP1A4","05/07/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","05/07/2020","05/12/2020","40","28231"
"825JBLAU","WP1A4","05/01/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/01/2020","05/11/2020","9","5575"
"66ZQZBJL","WP1A4","05/01/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","05/01/2020","05/11/2020","2","918"
"6438IR1N","WP1A4","05/01/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/01/2020","05/11/2020","1","459"
"6FHKA7MC","WP1A4","05/01/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/01/2020","05/11/2020","7","3363"
"3YDVL54U","WP1A4","05/01/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","05/01/2020","05/11/2020","2","968"
"3PW3B91D","WP1A4","05/01/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","05/01/2020","05/11/2020","5","2322"
"75UQTXGW","WP1A4","05/01/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","05/01/2020","05/11/2020","1","459"
"8VLSFAAL","2UQ7Z","05/01/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","05/01/2020","05/11/2020","1","4361"
"8R5AHEDB","2UQ7Z","05/01/2020","VJNA - Kashiwa, Chiba","Delivery window (Prepaid)","05/01/2020","05/11/2020","4","59400"
"84BLYI6X","2UQ7Z","05/01/2020","TPF3 - Takatsuki-shi, Osaka","Delivery window (Prepaid)","05/01/2020","05/11/2020","2","254250"
"6IA77OFL","2UQ7Z","05/01/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","05/01/2020","05/11/2020","4","27666"
"64PBPCIE","2UQ7Z","05/01/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","05/01/2020","05/11/2020","102","345333"
"5HLEHSHO","2UQ7Z","05/01/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","05/01/2020","05/11/2020","2","14687"
"5AYCT19M","2UQ7Z","05/01/2020","TPF4 - Inazawa-shi, Aichi","Delivery window (Prepaid)","05/01/2020","05/11/2020","1","10776"
"4HGN22GQ","2UQ7Z","04/30/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/30/2020","05/11/2020","103","352943"
"8Q9GVAZR","WP1A4","04/30/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/30/2020","05/11/2020","3","4274"
"7M9FPSTU","WP1A4","04/30/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","04/30/2020","05/11/2020","2","968"
"8151Q8FP","2UQ7Z","04/30/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","04/30/2020","05/11/2020","125","447728"
"3YPB9XNU","2UQ7Z","04/30/2020","HND3 - Hiki-gun, Saitama","Delivery window (Prepaid)","04/30/2020","05/11/2020","9","142268"
"8P1H4KAC","2UQ7Z","04/30/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","04/30/2020","05/11/2020","12","64275"
"8NXP94MT","2UQ7Z","04/30/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","04/30/2020","05/11/2020","108","373295"
"8LBXWCKY","2UQ7Z","04/30/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","04/30/2020","05/11/2020","1","14850"
"86Z3OCGL","2UQ7Z","04/30/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","04/30/2020","05/11/2020","100","331500"
"83AKH4QH","2UQ7Z","04/30/2020","VJNA - Kashiwa, Chiba","Delivery window (Prepaid)","04/30/2020","05/11/2020","2","29700"
"3UOZWXHN","2UQ7Z","04/30/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","04/30/2020","05/11/2020","2","10430"
"3NAYII2F","2UQ7Z","04/30/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","04/30/2020","05/11/2020","11","54037"
"3HQOP6HM","2UQ7Z","04/30/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/30/2020","05/11/2020","2","5561"
"4K5JQ4LH","2UQ7Z","04/28/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","04/28/2020","05/07/2020","2","14687"
"7KMLAAOS","2UQ7Z","04/28/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","04/28/2020","05/07/2020","7","23612"
"5YY18AQG","2UQ7Z","04/28/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","04/28/2020","05/07/2020","103","344583"
"5UHIAETW","2UQ7Z","04/28/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","04/28/2020","05/07/2020","2","13833"
"7E63TZUN","2UQ7Z","04/28/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","04/28/2020","05/07/2020","5","28866"
"7ON4743T","2UQ7Z","04/28/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","04/28/2020","05/07/2020","3","13083"
"1UUL6L9I","2UQ7Z","04/28/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","04/28/2020","05/07/2020","2","13833"
"6ZR6K8TH","WP1A4","04/28/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","04/28/2020","05/07/2020","8","8267"
"6KNBLKIO","WP1A4","04/28/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","04/28/2020","05/07/2020","3","1592"
"6ISJZGNZ","WP1A4","04/28/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","04/28/2020","05/07/2020","6","3374"
"4GGKFWGO","WP1A4","04/28/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","04/28/2020","05/07/2020","1","459"
"4ELSTSLZ","WP1A4","04/28/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/28/2020","05/07/2020","6","3276"
"6ONLXKOV","WP1A4","04/28/2020","TPFA - Noda, Chiba","Delivery window (Prepaid)","04/28/2020","05/07/2020","1","1930"
"2PB69WZY","WP1A4","04/27/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","04/27/2020","05/01/2020","3","1743"
"8U57KFDR","WP1A4","04/27/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","04/27/2020","05/01/2020","9","4583"
"4D7S399J","WP1A4","04/27/2020","TPFA - Noda, Chiba","Delivery window (Prepaid)","04/27/2020","05/01/2020","11","28581"
"8RYNTJ2Z","WP1A4","04/27/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","04/27/2020","05/01/2020","3","1321"
"2U8VSONL","WP1A4","04/27/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/27/2020","05/01/2020","22","17253"
"89BQ4QBC","WP1A4","04/27/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","04/27/2020","05/01/2020","9","4583"
"848NWAHM","WP1A4","04/27/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","04/27/2020","05/01/2020","20","12228"
"6TRHSJNX","2UQ7Z","04/27/2020","TPFA - Noda, Chiba","Delivery window (Prepaid)","04/27/2020","05/01/2020","14","192678"
"4MX19HID","2UQ7Z","04/27/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","04/27/2020","05/01/2020","107","362027"
"4GLQPHQE","2UQ7Z","04/27/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","04/27/2020","05/01/2020","4","22762"
"4CLGDHKX","2UQ7Z","04/27/2020","HND9 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/27/2020","05/01/2020","6","24304"
"4AQORDPI","2UQ7Z","04/27/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","04/27/2020","05/01/2020","3","15920"
"484XFLNN","2UQ7Z","04/27/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","04/27/2020","05/01/2020","10","53111"
"45YEOPCV","2UQ7Z","04/27/2020","HND3 - Hiki-gun, Saitama","Delivery window (Prepaid)","04/27/2020","05/01/2020","3","46670"
"444N3LHG","2UQ7Z","04/27/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","04/27/2020","05/01/2020","4","14283"
"6WE95BPS","2UQ7Z","04/27/2020","NRT2 - Yachiyo-shi, Chiba","Delivery window (Prepaid)","04/27/2020","05/01/2020","3","5880"
"6K7WN7WX","2UQ7Z","04/27/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","04/27/2020","05/01/2020","102","340222"
"6542OJLE","2UQ7Z","04/27/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/27/2020","05/01/2020","103","344583"
"4SS37LJZ","2UQ7Z","04/27/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","04/27/2020","05/01/2020","1","1960"
"4BIOI1WO","2UQ7Z","04/27/2020","KIX2 - Daito-shi, Osaka","Delivery window (Prepaid)","04/27/2020","05/01/2020","2","3920"
"6KLGO66V","WP1A4","04/24/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","04/24/2020","04/30/2020","115","159906"
"2VQ6QPLR","WP1A4","04/24/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","04/24/2020","04/30/2020","59","92969"
"8T1LFW6E","WP1A4","04/24/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/24/2020","04/30/2020","147","193924"
"3IXZU5WF","WP1A4","04/24/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","04/24/2020","04/30/2020","16","19917"
"6UGWQOHV","WP1A4","04/24/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","04/24/2020","04/30/2020","41","48510"
"7E6TPA9A","WP1A4","04/24/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","04/24/2020","04/30/2020","27","35554"
"5E5BL92F","WP1A4","04/24/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","04/24/2020","04/30/2020","62","76470"
"141ACX5O","WP1A4","04/24/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","04/24/2020","04/30/2020","54","66278"
"8PHIORQA","WP1A4","04/24/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","04/24/2020","04/30/2020","48","59854"
"1CNJ3WIF","WP1A4","04/24/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","04/24/2020","04/30/2020","108","146132"
"6CAF7KPV","2UQ7Z","04/24/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","04/24/2020","04/30/2020","106","381359"
"4WBN1URQ","2UQ7Z","04/24/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","04/24/2020","04/30/2020","113","422507"
"5L3GR13B","2UQ7Z","04/24/2020","VJNA - Kashiwa, Chiba","Delivery window (Prepaid)","04/24/2020","04/30/2020","13","193050"
"53T32GGQ","2UQ7Z","04/24/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","04/24/2020","04/30/2020","20","383090"
"52A3L52E","2UQ7Z","04/24/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","04/24/2020","04/30/2020","115","434079"
"83KDVBBQ","2UQ7Z","04/16/2020","VJNC - Higashiosaka, Osaka","Delivery window (Prepaid)","04/16/2020","04/22/2020","1","211500"
"6S1MZR9F","2UQ7Z","04/13/2020","VJNA - Kashiwa, Chiba","Delivery window (Prepaid)","04/13/2020","04/17/2020","1","211500"
"69Q6HVMK","WP1A4","04/10/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","04/10/2020","04/15/2020","2","1250"
"1SDQE5UL","WP1A4","04/10/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/10/2020","04/15/2020","4","3818"
"7GEAUBEX","WP1A4","04/09/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","04/09/2020","04/14/2020","15","14177"
"68LT1X8D","WP1A4","04/09/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/09/2020","04/14/2020","10","9986"
"8QWB3SFP","2UQ7Z","04/09/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","04/09/2020","04/15/2020","7","44966"
"1EN592AW","WP1A4","04/09/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","04/09/2020","04/14/2020","1","1239"
"8WMCK21O","WP1A4","04/08/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","04/08/2020","04/13/2020","2","1554"
"2VYKYNON","WP1A4","04/08/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","04/08/2020","04/13/2020","1","4196"
"24J6MLIT","WP1A4","04/08/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","04/08/2020","04/13/2020","1","1371"
"37UWZ2XG","2UQ7Z","04/08/2020","TPF7 - Inzai-shi, Chiba","Delivery window (Prepaid)","04/08/2020","04/13/2020","2","360000"
"46LPGCZP","WP1A4","04/07/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/07/2020","04/10/2020","6","8765"
"1JJ5SCOW","WP1A4","04/03/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","04/03/2020","04/08/2020","33","32812"
"83KHFQZB","WP1A4","04/03/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","04/03/2020","04/08/2020","6","9110"
"8AT9HL7Y","WP1A4","04/01/2020","VJNB - Kobe-Shi, Hyogo","Delivery window (Prepaid)","04/01/2020","04/06/2020","2","14706"
"6PH8NQWM","WP1A4","04/01/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","04/01/2020","04/06/2020","1","881"
"7WJZ6XAP","2UQ7Z","03/31/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","04/07/2020","04/14/2020","8","45569"
"7HAOR6OW","2UQ7Z","03/31/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","04/07/2020","04/14/2020","19","99085"
"6F6QLS4C","2UQ7Z","03/31/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","04/07/2020","04/14/2020","5","29924"
"6DBYZO9N","2UQ7Z","03/31/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","04/07/2020","04/14/2020","27","156201"
"2FD4N79W","2UQ7Z","03/30/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","03/30/2020","04/02/2020","4","27666"
"28Q2YF1U","2UQ7Z","03/30/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","03/30/2020","04/02/2020","7","61193"
"25SJHUIW","2UQ7Z","03/30/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","03/30/2020","04/02/2020","102","350444"
"1EN7SCLJ","2UQ7Z","03/30/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","03/30/2020","04/02/2020","9","44806"
"11OVKKLI","2UQ7Z","03/30/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","03/30/2020","04/02/2020","5","27770"
"2BNLFYJS","2UQ7Z","03/30/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","03/30/2020","04/02/2020","17","99692"
"8FNQ33MQ","2UQ7Z","03/27/2020","TPF4 - Inazawa-shi, Aichi","Delivery window (Prepaid)","03/27/2020","04/01/2020","1","8925"
"8CQ7LJ4S","2UQ7Z","03/27/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","03/27/2020","04/01/2020","9","34478"
"891OEBEO","2UQ7Z","03/27/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","03/27/2020","04/01/2020","9","32854"
"79HTTHSK","2UQ7Z","03/27/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","03/27/2020","04/01/2020","16","62066"
"85C673OK","2UQ7Z","03/27/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","03/27/2020","04/01/2020","104","347439"
"7HYN4DVB","2UQ7Z","03/27/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","03/27/2020","04/01/2020","5","20541"
"78PU3TLE","2UQ7Z","03/27/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","03/27/2020","04/01/2020","2","6860"
"75HJHHMD","2UQ7Z","03/27/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","03/27/2020","04/01/2020","3","10794"
"73MRVDRO","2UQ7Z","03/27/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","03/27/2020","04/01/2020","5","18333"
"68AVQ99I","2UQ7Z","03/27/2020","HSG1 - Tosu-Shi, Saga","Delivery window (Prepaid)","03/27/2020","04/01/2020","2","8722"
"4OKLY4YH","2UQ7Z","03/26/2020","KIX3 - Ibaraki, Osaka","Delivery window (Prepaid)","03/26/2020","03/31/2020","111","375276"
"8ENIOE5T","2UQ7Z","03/26/2020","TYO1 - Kawaguchi-shi, Saitama","Delivery window (Prepaid)","03/26/2020","03/31/2020","6","23093"
"4SQCR8FO","2UQ7Z","03/26/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","03/26/2020","03/31/2020","113","381019"
"4WW3KBVV","2UQ7Z","03/26/2020","NRT1 - Ichikawa-shi, Chiba","Delivery window (Prepaid)","03/26/2020","03/31/2020","9","41007"
"4LHQSVAG","2UQ7Z","03/26/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","03/26/2020","03/31/2020","2","8722"
"4EUP542E","2UQ7Z","03/26/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","03/26/2020","03/31/2020","4","11632"
"4E3PEFUY","2UQ7Z","03/26/2020","NGO2 - Tajimi-shi, Gifu","Delivery window (Prepaid)","03/26/2020","03/31/2020","110","369425"
"3D7UHEWU","2UQ7Z","03/26/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","03/26/2020","03/31/2020","210","735024"
"7JITIY4P","2UQ7Z","03/19/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","03/19/2020","03/25/2020","3","13969"
"4PQOBYSA","2UQ7Z","03/19/2020","FSZ1 - Odawara-shi, Kanagawa","Delivery window (Prepaid)","03/19/2020","03/25/2020","119","419797"
"6O2ZVDWT","2UQ7Z","03/19/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","03/19/2020","03/25/2020","4","20266"
"7CW7YSCB","2UQ7Z","03/19/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","03/19/2020","03/25/2020","107","367140"
"3SCA2GYA","2UQ7Z","03/19/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","03/19/2020","03/25/2020","221","763709"
"3W9UNZOT","2UQ7Z","03/18/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","03/18/2020","03/23/2020","6","40219"
"6EV1UWDB","2UQ7Z","03/17/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","03/17/2020","03/23/2020","8","30731"
"33OL4IIQ","2UQ7Z","03/17/2020","TPF2 - Hiki-gun, Saitama","Delivery window (Prepaid)","03/17/2020","03/23/2020","4","38433"
"5EWEKTOJ","2UQ7Z","03/17/2020","KIX1 - Sakai-shi, Osaka","Delivery window (Prepaid)","03/17/2020","03/23/2020","100","331500"
"6FJVABUY","WP1A4","03/13/2020","HND6 - Kawasaki-shi, Kanagawa","Delivery window (Prepaid)","03/13/2020","03/18/2020","6","5673"
"4JGVNWFM","WP1A4","03/12/2020","HND8 - Hachioji-shi, Tokyo","Delivery window (Prepaid)","03/12/2020","03/17/2020","4","8861"
"4GOSNG7O","WP1A4","03/12/2020","OKJ1 - Soja-shi, Okayama","Delivery window (Prepaid)","03/12/2020","03/17/2020","4","7558"
"8UQ3UBAL","WP1A4","03/12/2020","KIX5 - Kyotanabe-shi, Kyoto-fu","Delivery window (Prepaid)","03/12/2020","03/17/2020","9","13490"